Data statistics,Number of
Records passed,126
Server Name,No.,Type,PID,Status,Reason,Sem,Start,Error,CPU,Time,Cl.,User Names,Report,Action,Table,Sem,Sem,Sem,Sem,Sem,CurrSem.,Mutex,Mutex,Mutex
mdt2ds62_PWA_00,4,DIA,23986390,Running,,,Yes,,,,010,SLT_PWA_USER,CL_RSSM_,Sequential Read,RSSELDONE,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,5,DIA,17825870,Running,,,Yes,,,,010,SLT_PWA_USER,SAPLSENA,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,9,DIA,11993322,Running,,,Yes,,,,010,SLT_PWA_USER,CL_RSDS_,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,27,DIA,26542314,Running,,,Yes,2,,1,010,SLT_PWA_USER,CL_RSSM_,Sequential Read,RSSELDONE,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,41,DIA,11337808,Running,,,Yes,,,,010,SLT_PWA_USER,CL_RSSM_,Sequential Read,RSMONMESS,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,45,DIA,23593190,Running,,,Yes,,,,010,SLT_PWA_USER,CL_RSSM_,Sequential Read,RSMONMESS,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,52,DIA,15335498,Running,,,Yes,,,1,010,SLT_PWA_USER,SAPLSENA,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,54,DIA,27983944,Running,,,Yes,,,1,010,SLT_PWA_USER,SAPLSENA,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,55,BTC,12451940,Running,,,Yes,,,578,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,56,BTC,25362586,Running,,,Yes,,,488,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,62,BTC,19595410,Running,,,Yes,,,284,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,67,BTC,26345500,Running,,,Yes,,,457,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,68,BTC,23199836,Running,,,Yes,,,507,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,71,BTC,17104926,Running,,,Yes,,,321,010,ALEREMOTE,CL_RSBK_,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,73,BTC,16974026,Running,,,Yes,,,97,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,76,BTC,20185318,Running,,,Yes,,,486,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,77,BTC,14614596,Running,,,Yes,,,600,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,78,BTC,16384036,Running,,,Yes,,,174,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,80,BTC,27590764,Running,,,Yes,,,1010,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,82,BTC,10944536,Running,,,Yes,,,619,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,83,BTC,24576068,Running,,,Yes,,,371,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,84,BTC,16777224,Running,,,Yes,,,63,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,85,BTC,27787508,Running,,,Yes,,,268,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,16,DIA,19333222,Stopped,CPIC,,Yes,,,,010,SLT_PWA_USER,SAPMSSY1,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,33,DIA,19005472,Stopped,CPIC,,Yes,,,,010,SLT_PWA_USER,SAPMSSY1,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,40,DIA,23986388,Stopped,CPIC,,Yes,,,1,010,SLT_PWA_USER,SAPMSSY1,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,44,DIA,16449694,Stopped,CPIC,,Yes,,,,010,SLT_PWA_USER,SAPMSSY1,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,52,DIA,20185288,Running,,,Yes,,,,010,WHS_BUSER,SAPLRSDS,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,53,DIA,23331070,Stopped,CPIC,,Yes,,,1,010,SLT_PWA_USER,SAPMSSY1,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,55,BTC,17891578,Running,,,Yes,,,477,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,57,BTC,25427990,Running,,,Yes,,,564,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,58,BTC,25100350,Running,,,Yes,,,509,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,63,BTC,18940144,Running,,,Yes,,,188,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,64,BTC,24838342,Running,,,Yes,,,282,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,65,BTC,25624772,Running,,,Yes,,,60,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,73,BTC,20840462,Running,,,Yes,,,150,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,74,BTC,18284708,Running,,,Yes,,,123,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,76,BTC,21495952,Running,,,Yes,,,479,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,81,BTC,9175236,Running,,,Yes,,,387,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds71_PWA_00,82,BTC,18874448,Running,,,Yes,,,185,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,43,DIA,22544420,Stopped,CPIC,,Yes,,,,010,SLT_PWA_USER,SAPMSSY1,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,49,DIA,17170520,Running,,,Yes,,,41,010,BC-BATCH,CL_SWNC_,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,56,BTC,25297080,Running,,,Yes,,,241,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,57,BTC,20054026,Running,,,Yes,,,50,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,59,BTC,16318512,Running,,,Yes,,,480,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,62,BTC,19398856,Running,,,Yes,,,43,010,ALEREMOTE,GP526WN4,Sequential Read,/BIC/SZFLE,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,72,BTC,14876858,Running,,,Yes,,,581,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,75,BTC,26083486,Running,,,Yes,,,477,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,76,BTC,26280084,Running,,,Yes,,,258,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,77,BTC,23658662,Running,,,Yes,,,1246,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,78,BTC,22675510,Running,,,Yes,,,348,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,80,BTC,20447436,Running,,,Yes,,,3528,010,ALEREMOTE,GP0618R5,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,81,BTC,14483656,Running,,,Yes,,,15,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,82,BTC,17432748,Running,,,Yes,,,29,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,83,BTC,18677830,Running,,,Yes,,,38,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,84,BTC,15728880,Running,,,Yes,,,201,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds78_PWA_00,85,BTC,13434908,Running,,,Yes,,,575,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
Server Name,No.,Type,PID,Status,Reason,Sem,Start,Error,CPU,Time,Cl.,User Names,Report,Action,Table,Sem,Sem,Sem,Sem,Sem,CurrSem.,Mutex,Mutex,Mutex
mdt2ds79_PWA_00,57,BTC,23462032,Running,,,Yes,,,286,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds79_PWA_00,64,BTC,15990988,Running,,,Yes,,,514,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds79_PWA_00,68,BTC,21233732,Running,,,Yes,,,263,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds79_PWA_00,75,BTC,24641756,Running,,,Yes,,,143,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds79_PWA_00,78,BTC,22347924,Running,,,Yes,,,1095,010,ALEREMOTE,CL_SQL_R,Sequential Read,,0,0,0,0,0,0,0,0,0
mdt2ds79_PWA_00,79,BTC,9502800,Running,,,Yes,,,96,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds79_PWA_00,81,BTC,21102628,Running,,,Yes,,,508,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds79_PWA_00,84,BTC,20054140,Running,,,Yes,,,89,010,ALEREMOTE,GP0618R5,Sequential Read,/BIC/AZMM_,0,0,0,0,0,0,0,0,0
